tenant_id,store_id,source,external_order_id,member_id,paid_at,currency,amount_paid_minor,status
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O001,M001,2026-08-01T10:00:00+06:00,BDT,20000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O002,M001,2026-08-10T10:00:00+06:00,BDT,25000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O003,M002,2026-08-01T11:00:00+06:00,BDT,20000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O004,M002,2026-09-10T11:00:00+06:00,BDT,20000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O005,M003,2026-08-05T10:00:00+06:00,BDT,18000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O006,M003,2026-08-05T16:00:00+06:00,BDT,22000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O007,M003,2026-08-20T10:00:00+06:00,BDT,20000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O008,M004,2026-09-10T10:00:00+06:00,BDT,30000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O009,M004,2026-09-12T10:00:00+06:00,BDT,20000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O010,M006,2026-09-20T10:00:00+06:00,BDT,22000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O011,,2026-09-21T10:00:00+06:00,BDT,15000,paid
DEMO_TENANT_ADDA,DEMO_STORE_001,demo_pos,O001,M001,2026-08-01T10:00:00+06:00,BDT,20000,paid
